cd_linha	trip_id	dc_itinerario_longo	
831	1016-10-0	CENTER NORTE	
33599	1016-10-1	CEMITERIO DO HORTO	
34909	1017-10-1	PERUS	
2141	1017-10-0	VILA IORIO	
832	1018-10-0	METRÔ SANTANA	
33600	1018-10-1	VILA ROSA	
33284	106A-10-1	METRÔ SANTANA	
516	106A-10-0	ITAIM BIBI	
621	107T-10-0	PINHEIROS	
33389	107T-10-1	METRÔ TUCURUVI	
33390	107T-31-1	METRÔ TUCURUVI	
622	107T-31-0	PINHEIROS 	
659	1156-10-0	PCA. DO CORREIO	
33427	1156-10-1	VILA SABRINA	
2130	1156-31-0	PRAÇA DO CORREIO	
34898	1156-31-1	VILA SABRINA	
129	1177-10-0	ESTAÇÃO DA LUZ	
32897	1177-10-1	TERM. A.E. CARVALHO	
34599	1177-31-1	TERM. A. E. CARVALHO	
1831	1177-31-0	ESTAÇÃO DA LUZ	
130	1177-42-0	TERM. PQ.D. PEDRO II	
32898	1177-42-1	ENGENHEIRO GOULART	
32899	1177-51-1	TERM. A. E. CARVALHO	
131	1177-51-0	TERM. AMARAL GURGEL	
132	1178-10-0	PCA. DO CORREIO	
32900	1178-10-1	SAO MIGUEL	
34580	1178-31-1	SAO MIGUEL	
1812	1178-31-0	PCA. DO CORREIO	
2009	1178-32-0	PCA. DO CORREIO	
34777	1178-32-1	ABEL TAVARES	
34778	1178-33-1	PCA. DO CORREIO	
2010	1178-33-0	SAO MIGUEL	
32901	1178-42-1	CONJ. HAB.VL.SILVIA	
133	1178-42-0	PCA. DO CORREIO	
840	117Y-10-0	PINHEIROS	
33608	117Y-10-1	COHAB ANTARTICA	
33287	118C-10-1	JD. PERY ALTO	
519	118C-10-0	METRO SANTA CECILIA	
520	118C-21-0	ESTAÇÃO DA LUZ	
33288	118C-21-1	PARADA PINTO	
33289	118C-22-1	ESTAÇÃO DA LUZ	
521	118C-22-0	JD.PERY ALTO	
523	118C-24-0	JD. PERY ALTO	
33291	118C-24-1	SHOPPING - D	
34596	118C-41-1	UNIVERSIDADE SÃO FRANCISCO	
1828	118C-41-0	JD. PERY ALTO	
841	118Y-10-0	LAPA	
33609	118Y-10-1	LAUZANE PAULISTA	
33429	119C-10-1	VILA SABRINA	
661	119C-10-0	TERM.PRINCESA ISABEL	
663	119P-10-0	TERM.BANDEIRA	
33431	119P-10-1	VILA PAIVA	
33610	1206-10-1	PQ. VILA MARIA	
842	1206-10-0	CORREIO	
691	121G-10-0	METRO TUCURUVI	
